PUERTO DE ORIGEN,PAIS,20DRY,40DRY,40H.C.,CURR.,CARGO
QINGDAO,CHINA,725,1350,1350,USD,BUC
KAOHSIUNG ( Solo VLC),TAIWAN,725,1350,1350,USD,BUC
HONG KONG (Solo VLC),HONG KONG,725,1350,1350,USD,BUC
PUSAN,SOUTH KOREA,725,1350,1350,USD,BUC
SHANGHAI,CHINA,725,1350,1350,USD,BUC
NINGBO,CHINA,725,1350,1350,USD,BUC
NANSHA,CHINA,725,1350,1350,USD,BUC
YANTIAN,CHINA,725,1350,1350,USD,BUC
SINGAPORE,SINGAPORE,725,1350,1350,USD,BUC
HONG KONG (SOLO BCN),HONG KONG,750,1400,1400,USD,BUC
XIAMEN,CHINA,775,1450,1450,USD,BUC
DALIAN,CHINA,775,1450,1450,USD,BUC
DALIAN,CHINA,850,1700,1700,USD,BUC
NANHAI,CHINA,825,1550,1550,USD,BUC
FUZHOU,CHINA,775,1450,1450,USD,BUC
HUANGPU,CHINA,825,1550,1550,USD,BUC
JIANGMEN,CHINA,825,1550,1550,USD,BUC
SHEKOU,CHINA,775,1450,1450,USD,BUC
WUHAN,CHINA,975,1850,1850,USD,BUC
XINGANG,CHINA,775,1450,1450,USD,BUC
LIANYUNGANG,CHINA,975,1850,1850,USD,BUC
FANG CHENG GANG,CHINA,925,1750,1750,USD,BUC
SHANTOU,CHINA,825,1550,1550,USD,BUC
SHANTOU,CHINA,950,1900,1900,USD,BUC
CHONG QING,CHINA,1125,2050,2050,USD,BUC
NANCHANG,CHINA,925,1750,1750,USD,BUC
NANTONG,CHINA,850,1600,1600,USD,BUC
NANJING,CHINA,850,1600,1600,USD,BUC
ZHANGJIAGANG,CHINA,850,1600,1600,USD,BUC
YANGZHOU,CHINA,850,1600,1600,USD,BUC
ZHENJIANG,CHINA,850,1600,1600,USD,BUC
WUHU,CHINA,850,1600,1600,USD,BUC
XIAOLAN,CHINA,825,1550,1550,USD,BUC
RONGQI,CHINA,825,1550,1550,USD,BUC
BEIJIAO,CHINA,825,1550,1550,USD,BUC
ZHONGSHAN,CHINA,825,1550,1550,USD,BUC
ZHUHAI,CHINA,825,1550,1550,USD,BUC
BANGKOK,Tailandia,775,1450,1450,USD,BUC
LAEM CHABANG,Tailandia,775,1450,1450,USD,BUC
SONGKHLA,Tailandia,975,1850,1850,USD,BUC
SIHANOUKVILLE,Camboya,875,1650,1650,USD,BUC
PORT KELANG,Malasia,775,1450,1450,USD,ISOCC 
PENANG,Malasia,775,1450,1450,USD,ISOCC 
TANJUNG PELEPAS,Malasia,775,1450,1450,USD,ISOCC 
"JOHORE, PASIR GUDANG",Malasia,775,1450,1450,USD,ISOCC 
JAKARTA,Indonesia,775,1450,1450,USD,BUC
BELAWAN,Indonesia,775,1450,1450,USD,BUC
SEMARANG,Indonesia,775,1450,1450,USD,BUC
SURABAYA,Indonesia,775,1450,1450,USD,BUC
HO CHI MINH,Vietnam,775,1450,1450,USD,BUC
HAIPHONG,Vietnam,775,1450,1450,USD,BUC
MANILA,Filipinas,775,1450,1450,USD,ISOCC 
CEBU,Filipinas,825,1550,1550,USD,ISOCC 
YANGON,Myanmar,925,1750,1750,USD,BUC
CHITTAGONG,Bangladesh,1025,1950,1950,USD,BUC
KARACHI,Pakistán,875,1600,1600,USD,WRC
KEELUNG,Taiwan,825,1550,1550,USD,BUC
TAICHUNG,Taiwan,825,1550,1550,USD,BUC
TAIPEI,Taiwan,875,1600,1600,USD,BUC
KAOHSIUNG (SOLO BCN),Taiwan,750,1400,1400,USD,BUC
TOKYO,Japon,825,1550,1550,EUR,BUC
OSAKA,Japon,825,1550,1550,EUR,BUC
MOJI,Japon,925,1750,1750,EUR,BUC
HAKATA,Japon,825,1750,1750,EUR,BUC
YOKOHAMA,Japon,825,1550,1550,EUR,BUC
KOBE,Japon,825,1550,1550,EUR,BUC
SHIMIZU,Japon,925,1750,1750,EUR,BUC
COCHIN,India,875,1600,1600,USD,BUC
NHAVA SHEVA,India,875,1600,1600,USD,BUC
MUNDRA,India,875,1600,1600,GBP,BUC
TUTICORIN,India,975,1800,1800,USD,BUC
CALCUTTA,India,975,1800,1800,USD,BUC
CHENNAI,India,875,1600,1600,USD,BUC
KATTUPALLI,India,875,1600,1600,USD,BUC
,,,,,,
,,,,,,
"RECARGO ISOCC 
 Aplicable solo para puertos de Malasia y Filipinas
 Efectivo: On Board 1 Abril 2020
 Importe: 20DRY: 164 USD 40DRY: 328 USD 40HC DRY: 328 USD",,,,,,
,,,,,,
"RECARGO WRC 
 Aplicable solo para puertos de Pakistan
 Efectivo: On Board 1 Abril 2020
 Importe: 20DRY: 50 EUR 40DRY: 100 EUR 40HC DRY: 100 EUR",,,,,,
,,,,,,
RECARGO BUC,,,,,,
Aplicable para todas las rutas,,,,,,
Efectivo: On Board 1 Abril 2020,,,,,,
Importe: 20DRY: 100 USD 40DRY: 100 USD 40HC DRY: 100 USD,,,,,,
