,contenedor20,contenedor20,contenedor20,contenedor20,contenedor40,contenedor40,contenedor40,contenedor40,contenedor40hc,contenedor40hc,contenedor40hc,contenedor40hc
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max
pais_destino,,,,,,,,,,,,
Bangladesh,1025.0,1025,1025,1025,1950.0,1950,1950,1950,1950.0,1950,1950,1950
CHINA,835.9375,26750,725,1125,1575.0,50400,1350,2050,1575.0,50400,1350,2050
Camboya,875.0,875,875,875,1650.0,1650,1650,1650,1650.0,1650,1650,1650
Filipinas,800.0,1600,775,825,1500.0,3000,1450,1550,1500.0,3000,1450,1550
HONG KONG,737.5,1475,725,750,1375.0,2750,1350,1400,1375.0,2750,1350,1400
India,903.5714285714286,6325,875,975,1657.142857142857,11600,1600,1800,1657.142857142857,11600,1600,1800
Indonesia,775.0,3100,775,775,1450.0,5800,1450,1450,1450.0,5800,1450,1450
Japon,853.5714285714286,5975,825,925,1635.7142857142858,11450,1550,1750,1635.7142857142858,11450,1550,1750
Malasia,775.0,3100,775,775,1450.0,5800,1450,1450,1450.0,5800,1450,1450
Myanmar,925.0,925,925,925,1750.0,1750,1750,1750,1750.0,1750,1750,1750
Pakistán,875.0,875,875,875,1600.0,1600,1600,1600,1600.0,1600,1600,1600
SINGAPORE,725.0,725,725,725,1350.0,1350,1350,1350,1350.0,1350,1350,1350
SOUTH KOREA,725.0,725,725,725,1350.0,1350,1350,1350,1350.0,1350,1350,1350
TAIWAN,725.0,725,725,725,1350.0,1350,1350,1350,1350.0,1350,1350,1350
Tailandia,841.6666666666666,2525,775,975,1583.3333333333333,4750,1450,1850,1583.3333333333333,4750,1450,1850
Taiwan,818.75,3275,750,875,1525.0,6100,1400,1600,1525.0,6100,1400,1600
Vietnam,775.0,1550,775,775,1450.0,2900,1450,1450,1450.0,2900,1450,1450
